class_name,BUSINESS,INTRODUCTORY,PROGRAMMING,PYTHON,ENGLISH,FRESHMAN,MATH,PHILOSOPHY,JAVA,OOP,SOFTWARE DESIGN,DESIGN,LOGIC,PHP,DESIGN THINKING,IT,NETWORKING,SQL,DATABASE,PSYCHOLOGY,NETWORK ADMINISTRATION,UX/UI,COMPUTER ENGINEERING,HARDWARE,CYBERSECURITY,BIG O(),ALGORITHMS,DATA STRUCTURES,FICTION,WRITING,ECOLOGY,ENVIRONMENT,JAZZ,MUSIC,PROLOG,DECLARITIVE PROGRAMMING LANGUAGES,HACKING,PENETRATION TESTING,LAB,FORMAL LANGUAGE,TURING MACHINES,STATE MACHINES,MODERN HISTORY,ETHICS,TYPESCRIPT,CAPSTONE,SOFTWARE,NOSQL,AESTHETICS,FASHION,ART,CREATIVE,DRAWING,FUTURE,STRATEGY,SOCIETY,HUMANS,HUMAN BEHAVIOR,DIVERSITY,THEORY,ACCOUNTING,FINANCE,MARKETING,BEHAVIOR,RESEARCH,POWER IMBALANCE,SOCIAL THEORY,COMMUNICATION,ADS,IMAGERY,MEDIA,STORY,EVOLUTION,STUDY,HISTORY,LANGUAGE,CULTURE,STUDIO,WESTERN,AMERICAM STUDIES,THERAPY,PHYSICAL,HUMAN BODY,ATHLETICS,EXERCISE,TRAINING,SCIENCE,BIOLOGY,CHEMISTRY,ASIA,CAREER,ORGANIZATION,JUSTICE,LAW,AMERICAN STUDIES,ITALY,EDUCATION,SPORTS,PHYSICAL EDUCATION,COGNITIVE SCIENCE,CREATIVITY,PYSCHOLOGY,GENDER STUDIES,FORENSICS,CRIMINAL JUSTICE,CLINICAL,BRAIN,THEATRE,ACTING,LITERATURE,GRAMMAR,AMERICAN HISTORY,WORLD STUDIES,WORLD HISTORY,LANGUAGE STUDY,BIOMEDICAL SCIENCE,ANCIENT HISTORY,TECHNOLOGY,MILITARY,,MODERN STUDIES,AMERICAN SOCIETY,SOCIAL,ENVIRONMENTAL SCIENCE,CULINARY,MODERN SCIENCE,MANAGEMENT,HUMAN RESOURCES,DATA,ANALYSIS,DATA MODELING,CORPORATE,FRENCH,INSTRUMENTS,SINGING,RELIGIOUS STUDIES,POLITICS,ECONOMICS,MEDICAL TECHNOLOGY,MEDICAL,POLITICAL SCIENCE,GOVERNMENT,ENVIRONMENTAL STUDIES,DATA SCIENCE,STATISTICS,MACHINE LEARNING,DATA MINING,AI,FAMILY STUDIES,PRACTICAL,CUTLURE,ELEMENTARY,CHILDREN,nan,INTRO BUSINESS & MGT,INTRO TO PROGRAMMING,WRITING FOR COLLEGE,INTRO-STATIST I,PHIOSOPHICAL PERSPECTIVES,SOFTWARE DEVELOPMENT I,SOFTWARE SYSTEMS+ANALYSIS,FIRST YEAR SEMINAR,DISCRETE MATHEMATICS,SOFTWARE DEVELOPMENT II,DATA COMMUNICATIONS,DATABASE MANAGEMENT,INTRO PSYCHOLOGY,INTERNETWORKING,SYSTEM DESIGN,COMPUTER ORG & ARCH,CALCULUS I,INTRO TO CYBERSECURITY,ALGORITHM ANALYSIS+DESIGN,MOD SPEC FICTION,INTRO ENVIRON ISS,JAZZ AND SOUND,HACKING + PENETRATION TESTING,FORMAL LANGUAGES+COMPUTABILITY,THEMES IN MOD HISTORY,BIOETHICS,OPERATING SYSTEMS,CS PROJECT,CS PROJECT II,SOFTWARE DES-DEV,DATABASE MGT SYS,FASHION DESIGN I: DRAWING & COLOR,FASHION FIGURE DRAWING,CREATIVE PROCESS,FASHION TREND FORECASTING & ANALYSIS,INTRO TO SOCIAL WORK,HUMAN BEHAVIOR IN THE SOCIAL ENVIRONMENT,SOCIAL WORK WITH DIVERSE POPULATIONS,SOCIAL WORK METHODS I,SOCIAL SERVICE: THEORY AND PRACTICE,FINANCIAL AND MANAGERIAL ACCOUNTING,COST ACCOUNTING,ADVANCED ACCOUNTING,ORGANIZATIONAL BEHAVIOR,MARKETING PRINCIPLES,SOCIAL RESEARCH METHODS,SOCIAL INEQUALITY,INTRODUCTION TO COMMUNICATION,MEDIA STRATEGY,VISUAL STORYTELLING,BRANDING,PRINCIPLES OF STRATEGIC ADVERTISING,INTRODUCTION TO PHYSICAL ANTHROPOLOGY,INTRO TO ANTHRO I,ARABIC CULTURES AND PERSPECTIVES,ELEMENTARY ARABIC I & II,FUNDAMENTALS OF ART AND DESIGN I,BASIC DRAWING,HISTORY OF WESTERN ART I,AMERICAN ART,INTRODUCTION TO ATHLETIC TRAINING,THERAPEUTIC EXERCISE + LAB,THERAPEUTIC MODALITIES + LAB,ADVANCED CONCEPTS IN ATHLETIC TRAINING,THERAPEUTIC INTERVENTIONS,GENERAL BIOLOGY I,HUMAN ANATOMY & PHYSIOLOGY I,HUMAN ANATOMY & PHYSIOLOGY II,GENERAL BIOLOGY II,GENERAL CHEMISTRY II,GENERAL CHEMISTRY LABORATORY I,GENERAL CHEMISTRY I,INTERMEDIATE CHINESE I & II,ELEMENTARY CHINESE I & II,CAREER PLANNING AND DECISION MAKING,EMPLOYMENT PRACTICUM,CRIMINOLOGY,INTRODUCTION TO CRIMINAL JUSTICE,POLICING IN AMERICA,CRIMINAL COURTS,CRIMINAL LAW AND PROCEDURE,U.S. URBAN CULTURES,CIVILIZATIONS OF ITALY,ADVANCED READING AND COMPOSITION,ADVANCED ITALIAN I,ELEMENTARY JAPANESE I–II,INTERMEDIATE JAPANESE I–II,THE CIVILIZATION OF JAPAN,DIFFERENTIAL EQUATIONS,APPLIED MATHEMATICS,LINEAR ALGEBRA,EDUCATIONAL PSYCHOLOGY,SPORTS AND EXERCISE PSYCHOLOGY,COMUNITY PSYCHOLOGY,PSYCHOLOGY OF ART AND HUMAN CREATIVITY,PSYCHOLOGY OF THE ADOLECENT,PSYCHOLOGY OF WOMEN,FORENSIC PSYCHOLOGY,INTRO TO ART THERAPY,FOUNDATION OF COGNITIVE SCIENCES,DEVELOPMENTAL DISORDERS,INTRO TO THEATRE,ACTING 1,LITERATURE AND GENDER,LAW AND LITERATURE,STYLE,AND WRITING,AMERICAN LITERATURE,LITERARY OF ROME,PLAYWRITE WORKSHOP,INTRODUCTORY LINGUISTICS,MEDICINE,LITERATURE AND SOCIETY,WAR IN THE ANCIENT WORLD,DIGITAL HUMANITITES,AMERICAN MILITARY HISTORY,U.S. WOMAN'S HISTORY,AMERICA SINCE 1945,ANCIENT GREECE,TRADITIONAL ASIA,MODERN AFRICA,AMERICAN FEMINISM,MODERN EUROPE,INTRO TO LOGIC,MODERN PHILOSOPHY,AMERICAN SOCIAL THOUGHT,ENVIRONMENTAL ETHICS,MORAL COGNITION,PHILOSOPHY OF HISTORY,ETHICS OF FOOD,ITALY'S CONTRIBUTION TO MODERN SCIENCE,FINANCIAL LITERACY,FOUNDATIONS OF MANAGEMENT,HR MANAGEMENT,DATA MODELING FOR BUSINESS,BUSINESS LAW I,BUSINESS LAW II,ENTREPRENEURSHIP,CORPORATE FINANCE,DERIVATIVES AND RISK MANAGEMENT,COPARATE SOCIAL REPSONSIBILITY,ELEMENTARY FRENCH I,ELEMENTARY FRENCH II,INTERMEDIATE FRENCH I,INTERMEDIATE FRENCH II,FRENCH CULTURE AND THOUGHT,INTRO TO MUSIC,BEGINNER PIANO,THEORY OF MUSIC I,THEORY OF MUSIC II,GUITAR ENSEMBLE,HISTORY OF THE MUSIC INDUSTRY,MUSIC IN AMERICA,MUSIC CULTURE OF THE WORLD,VOCAL SKILLS I,SIGHT READING,INTRO TO RELIGION,RELGION IN AMERICA,CHRISTIANITY,WORLD RELIGIONS,RELIGION AND POLITICS,WOMEN IN RELIGION,SOCIAL ETHICS AND ECONOMICS,METHODS IN MEDICAL TECHNOLOGY,CLINICAL MICRO BIOLOGY,CLINICAL CHEMISTRY,HEMATOLOGY,CLINICAL MICROSCOPY,INTRO TO LAW,POLITICAL SCIENCE LAB,AMERICAN NATIONAL GOVERNMENT,INTRO TO COMPARATIVE POLITICS,INTERNATIONAL RELATIONS,MODERN POLITICAL THOUGHT,INTRO TO PUBLIC POLITICS,ENVIRONMENTAL POLITICS AND POLICY,FEMININE POLITCAL THOUGHT,GLOBAL TERRORISM AND CONFLICT,INTRO TO DATA ANALYSIS,DATA VISUALIZATION,DATA MINING AND PREDICTIVE ANALYSIS,FAMILY LAW,CRIMINAL LAW,CIVIL LITIGATION PRACTICAL,INTRO TO TEACHING,TEACHING ENGLISH LANGUAGE LEANERS,CULTURALLY RESPECTED EDUCATION,ELEMENTARY MATH CONCEPTS,CHILDHOOD EDUCATION,FOUNDATIONS OF EDUCATION,ORGANIZED CRIME 
,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RELIGIOUS STUDIES,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MEDICAL TECHNOLOGY,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MEDICAL TECHNOLOGY,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MEDICAL TECHNOLOGY,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MEDICAL TECHNOLOGY,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
MEDICAL TECHNOLOGY,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
